name,period_d,depth_ppm,snr,prob,pred_discovery,pred_strict,truth
TOI-398.01,1.3600282669067383,19427.6944703,190.62356804069256,0.17330673336982727,0,0,1
TOI-2107.01,2.4545700550079346,19250.0,27.965971744779736,0.1248091384768486,0,0,1
TOI-418.01,2.2359864711761475,19058.0137423,208.80400340609975,0.4505394697189331,1,0,1
TOI-2406.01,3.076683521270752,18848.5607395,10.319571477344171,0.2462342530488968,0,0,1
TOI-3636.01,4.218662261962891,18527.6525232,12.378624986267209,0.24853123724460602,0,0,1
TOI-1283.01,10.338504791259766,18162.0,280.1058719429689,0.4864312410354614,1,0,1
TOI-2503.01,1.675156831741333,17781.0520005,10.55445551991002,0.019075164571404457,0,0,1
TOI-423.01,3.161569595336914,17482.2328085,176.8641052425704,0.4580855965614319,1,0,1
TOI-7057.01,3.377741813659668,17290.4349881,13.198563079855473,0.13430432975292206,0,0,1
TOI-4454.01,3.1208395957946777,17027.4064902,15.431980565960602,0.1699923574924469,0,0,1
TOI-473.01,1.5732847452163696,16875.7909849,44.33435217261725,0.0958646610379219,0,0,1
TOI-116.01,2.7985801696777344,16708.7151957,170.15230243584304,0.5033568143844604,1,1,1
TOI-474.01,2.516725778579712,16406.5457432,33.440218702259386,0.1801704615354538,0,0,1
TOI-966.01,3.4091567993164062,16294.3969402,37.27498246482335,0.5653052926063538,1,1,1
TOI-259.01,2.4238226413726807,16167.1783697,18.384863015998523,0.32899171113967896,0,0,1
TOI-1151.01,3.4741013050079346,15748.0,486.80455894723764,0.5360175967216492,1,1,1
TOI-2570.01,2.9887654781341553,15493.9490407,37.46458945689007,0.3935927748680115,0,0,1
TOI-1725.01,1.091430425643921,15377.7920504,33.5311542171564,0.09195248037576675,0,0,1
TOI-5673.01,2.8386216163635254,15270.0987848,12.78656430358618,0.15779638290405273,0,0,1
TOI-2818.01,4.039719104766846,15110.0,30.58885680502262,0.5035920739173889,1,1,1
TOI-2547.01,2.311420202255249,14975.1986739,87.523027908694,0.30590271949768066,0,0,1
TOI-7056.01,2.9932820796966553,14780.3009546,8.146616180251106,0.0919671505689621,0,0,1
TOI-112.01,2.4997994899749756,14621.2059647,120.73349060635968,0.3605319857597351,0,0,1
TOI-7512.01,6.569208145141602,14456.0192142,24.865131727282797,0.6053910851478577,1,1,1
TOI-1910.01,5.416112899780273,14310.0,17.90384790722863,0.44399702548980713,1,0,1
TOI-4521.01,3.071718215942383,14228.6266087,66.43672633618182,0.5902262926101685,1,1,1
TOI-7491.01,4.174714088439941,14026.6940585,5.166464292824893,0.0600208081305027,0,0,1
TOI-437.01,2.7439029216766357,13852.3979585,19.586511733244134,0.23554714024066925,0,0,1
TOI-6013.01,3.257389783859253,13770.1931364,23.061341661004548,0.41152864694595337,1,0,1
TOI-1928.01,2.2785749435424805,13638.9588751,7.011499907822436,0.3247664272785187,0,0,1
TOI-1902.01,1.6091845035552979,13450.0,28.46725770242982,0.26318272948265076,0,0,1
TOI-6275.01,6.246225357055664,13270.5292659,35.47218106341159,0.5247984528541565,1,1,1
TOI-547.01,1.5089634656906128,13140.0,25.25330608701747,0.015289450995624065,0,0,1
TOI-2368.01,5.175010681152344,13020.075325,44.48159776280891,0.5268108248710632,1,1,1
TOI-6720.01,4.147036075592041,12886.987991,6.059734011985636,0.4855688512325287,1,0,1
TOI-501.01,1.7100121974945068,12680.0,156.79577295734296,0.5222511291503906,1,1,1
TOI-1883.01,4.506383895874023,12522.9613662,12.913224819119048,0.2184511423110962,0,0,1
TOI-5672.01,3.0390851497650146,12337.5570732,21.729183120481284,0.3013027012348175,0,0,1
TOI-752.01,5.748132228851318,12259.4473284,76.52658070887792,0.5608805418014526,1,1,1
TOI-111.01,2.106156826019287,12142.2238514,31.200039488280144,0.4179149270057678,1,0,1
TOI-5685.01,2.3409907817840576,12040.0,11.784330291162876,0.1002536490559578,0,0,1
TOI-4531.01,4.533470153808594,11929.8619692,27.46718035351915,0.39012354612350464,0,0,1
TOI-1198.01,3.6127710342407227,11794.0,73.04423214999416,0.33501750230789185,0,0,1
TOI-2338.01,22.653961181640625,11530.0,13.706045034512474,0.6745068430900574,1,1,1
TOI-1463.01,2.8791022300720215,11426.6170088,22.104602342206523,0.3942965269088745,0,0,1
TOI-7719.01,3.275794506072998,11304.975042,7.734965723561013,0.08615624904632568,0,0,1
TOI-7497.01,5.291360378265381,11253.2758897,10.725140943981126,0.49121326208114624,1,0,1
